rank,year,month,name,federation,rating,title
14,2025,DEC,"Karjakin, Sergey",RUS,2750,GM
15,2025,DEC,"Anand, Viswanathan",IND,2743,GM
16,2025,DEC,"Rapport, Richard",HUN,2741,GM
17,2025,DEC,"Dominguez Perez, Leinier",USA,2738,GM
18,2025,DEC,"Ding, Liren",CHN,2734,GM
19,2025,DEC,"Vachier-Lagrave, Maxime",FRA,2734,GM
20,2025,DEC,"Abdusattorov, Nodirbek",UZB,2732,GM
21,2025,DEC,"Le, Quang Liem",VIE,2731,GM
22,2025,DEC,"Mamedyarov, Shakhriyar",AZE,2730,GM
23,2025,DEC,"Aronian, Levon",USA,2729,GM
24,2025,DEC,"Duda, Jan-Krzysztof",POL,2729,GM
25,2025,DEC,"Sindarov, Javokhir",UZB,2726,GM
26,2025,DEC,"Niemann, Hans Moke",USA,2725,GM
27,2025,DEC,"Nepomniachtchi, Ian",RUS,2723,GM
28,2025,DEC,"Topalov, Veselin",BUL,2717,GM
29,2025,DEC,"Yu, Yangyi",CHN,2717,GM
30,2025,DEC,"Andreikin, Dmitry",FID,2710,GM
31,2025,DEC,"Liang, Awonder",USA,2708,GM
32,2025,DEC,"Maghsoodloo, Parham",IRI,2708,GM
33,2025,DEC,"Vidit, Santosh Gujrathi",IND,2708,GM
34,2025,DEC,"Fedoseev, Vladimir",SLO,2705,GM
35,2025,DEC,"Aravindh, Chithambaram VR.",IND,2703,GM
36,2025,DEC,Nihal Sarin,IND,2701,GM
37,2025,DEC,"Tabatabaei, M. Amin",IRI,2700,GM
38,2025,DEC,"Esipenko, Andrey",RUS,2698,GM
39,2025,DEC,"Sadler, Matthew D",ENG,2694,GM
40,2025,DEC,"Harikrishna, Pentala",IND,2693,GM
41,2025,DEC,"Radjabov, Teimour",AZE,2692,GM
42,2025,DEC,"Van Foreest, Jorden",NED,2692,GM
43,2025,DEC,"Yakubboev, Nodirbek",UZB,2691,GM
44,2025,DEC,"Sevian, Samuel",USA,2688,GM
45,2025,DEC,"Wang, Hao",CHN,2687,GM
46,2025,DEC,"Jakovenko, Dmitry",RUS,2682,GM
47,2025,DEC,"Kovalenko, Igor",UKR,2682,GM
48,2025,DEC,"Svidler, Peter",FID,2682,GM
49,2025,DEC,"Tomashevsky, Evgeny",RUS,2681,GM
50,2025,DEC,"Bluebaum, Matthias",GER,2679,GM
51,2025,DEC,"Almasi, Zoltan",HUN,2677,GM
52,2025,DEC,"Leko, Peter",HUN,2676,GM
53,2025,DEC,"Polgar, Judit",HUN,2675,GM
54,2025,DEC,"Gyimesi, Zoltan",HUN,2674,GM
55,2025,DEC,"Sarana, Alexey",SRB,2673,GM
56,2025,DEC,"Dubov, Daniil",RUS,2672,GM
57,2025,DEC,"Kasimdzhanov, Rustam",UZB,2671,GM
58,2025,DEC,"Howell, David W L",ENG,2668,GM
59,2025,DEC,"Martinez Alcantara, Jose Eduardo",MEX,2667,GM
60,2025,DEC,"Wojtaszek, Radoslaw",POL,2667,GM
61,2025,DEC,"Bu, Xiangzhi",CHN,2665,GM
62,2025,DEC,"Sargsyan, Shant",ARM,2665,GM
63,2025,DEC,"Saric, Ivan",CRO,2665,GM
64,2025,DEC,"Grandelius, Nils",SWE,2664,GM
65,2025,DEC,"Shankland, Sam",USA,2664,GM
66,2025,DEC,"Donchenko, Alexander",GER,2661,GM
67,2025,DEC,"Karthikeyan, Murali",IND,2660,GM
68,2025,DEC,"Tkachiev, Vladislav",FRA,2660,GM
69,2025,DEC,"Alekseenko, Kirill",AUT,2659,GM
70,2025,DEC,"Erdogmus, Yagiz Kaan",TUR,2658,GM
71,2025,DEC,"Lautier, Joel",FRA,2658,GM
72,2025,DEC,"Oparin, Grigoriy",USA,2658,GM
73,2025,DEC,"Van Kampen, Robin",NED,2658,GM
74,2025,DEC,"Nguyen, Thai Dai Van",CZE,2657,GM
75,2025,DEC,"Eljanov, Pavel",UKR,2656,GM
76,2025,DEC,"Gledura, Benjamin",HUN,2656,GM
77,2025,DEC,"Vitiugov, Nikita",ENG,2656,GM
78,2025,DEC,"Christiansen, Johan-Sebastian",NOR,2655,GM
79,2025,DEC,"Grischuk, Alexander",RUS,2654,GM
80,2025,DEC,"Inarkiev, Ernesto",RUS,2653,GM
81,2025,DEC,"Maroroa Jones, Gawain C B",ENG,2653,GM
82,2025,DEC,"Shevchenko, Kirill",ROU,2653,GM
83,2025,DEC,"Svane, Frederik",GER,2653,GM
84,2025,DEC,"Deac, Bogdan-Daniel",ROU,2652,GM
85,2025,DEC,"Theodorou, Nikolas",GRE,2652,GM
86,2025,DEC,"Xiong, Jeffery",USA,2652,GM
87,2025,DEC,"Morozevich, Alexander",RUS,2650,GM
88,2025,DEC,"Robson, Ray",USA,2650,GM
89,2025,DEC,"Ni, Hua",CHN,2649,GM
90,2025,DEC,"Murzin, Volodar",FID,2648,GM
91,2025,DEC,"Anton Guijarro, David",ESP,2646,GM
92,2025,DEC,"Gurel, Ediz",TUR,2645,GM
93,2025,DEC,"Mamedov, Rauf",AZE,2645,GM
94,2025,DEC,"Ipatov, Alexander",TUR,2644,GM
95,2025,DEC,"Safarli, Eltaj",AZE,2644,GM
96,2025,DEC,"Salov, Valery",RUS,2644,GM
97,2025,DEC,"Vallejo Pons, Francisco",ESP,2644,GM
98,2025,DEC,"Lu, Shanglei",CHN,2643,GM
99,2025,DEC,"Navara, David",CZE,2642,GM
100,2025,DEC,"Artemiev, Vladislav",RUS,2641,GM
