year,month,rank,name,federation,rating,source
1998,7,67,"Rogers, Ian",AUS,2605,olimpbase
1998,7,68,"Piket, Jeroen",NED,2605,olimpbase
1998,7,69,"Granda Zuniga, Julio E.",PER,2605,olimpbase
1998,7,70,"Illescas Cordoba, Miguel",ESP,2605,olimpbase
1998,7,71,"Wahls, Matthias",GER,2605,olimpbase
1998,7,72,"Tukmakov, Vladimir B.",UKR,2605,olimpbase
1998,7,73,"Pigusov, Evgeny",RUS,2605,olimpbase
1998,7,74,"De Firmian, Nick E.",USA,2605,olimpbase
1998,7,75,"Morovic Fernandez, Ivan",CHI,2605,olimpbase
1998,7,76,"Hellers, Ferdinand",SWE,2605,olimpbase
1998,7,77,"Korneev, Oleg",RUS,2600,olimpbase
1998,7,78,"Asrian, Karen",ARM,2600,olimpbase
1998,7,79,"Khenkin, Igor",RUS,2600,olimpbase
1998,7,80,"Romanishin, Oleg M.",UKR,2600,olimpbase
1998,7,81,"Alterman, Boris",ISR,2600,olimpbase
1998,7,82,"Lutz, Christopher",GER,2600,olimpbase
1998,7,83,"Speelman, Jonathan S.",ENG,2600,olimpbase
1998,7,84,"Fedorov, Alexei",BLR,2600,olimpbase
1998,7,85,"Annakov, Babakuli",TKM,2600,olimpbase
1998,7,86,"Nunn, John D. M.",ENG,2600,olimpbase
1998,7,87,"Sturua, Zurab",GEO,2600,olimpbase
1998,7,88,"Wojtkiewicz, Aleksander",POL,2595,olimpbase
1998,7,89,"Aleksandrov, Aleksej",BLR,2595,olimpbase
1998,7,90,"Filippov, Valerij",RUS,2595,olimpbase
1998,7,91,"Benjamin, Joel",USA,2595,olimpbase
1998,7,92,"Timoshenko, Georgy",UKR,2595,olimpbase
1998,7,93,"Pinter, Jozsef",HUN,2595,olimpbase
1998,7,94,"Spasov, Vasil",BUL,2595,olimpbase
1998,7,95,"Portisch, Lajos",HUN,2595,olimpbase
1998,7,96,"Miles, Anthony J.",ENG,2590,olimpbase
1998,7,97,"Malaniuk, Vladimir P.",UKR,2590,olimpbase
1998,7,98,"Hebden, Mark",ENG,2590,olimpbase
1998,7,99,"Ribli, Zoltan",HUN,2590,olimpbase
1998,7,100,"Baburin, Alexander",IRL,2590,olimpbase
1999,7,1,"Kasparov, Garry",RUS,2851,olimpbase
1999,7,2,"Anand, Viswanathan",IND,2771,olimpbase
1999,7,3,"Kramnik, Vladimir",RUS,2760,olimpbase
1999,7,4,"Morozevich, Alexander",RUS,2758,olimpbase
1999,7,5,"Shirov, Alexei",ESP,2734,olimpbase
1999,7,6,"Kamsky, Gata",USA,2720,olimpbase
1999,7,7,"Gelfand, Boris",ISR,2713,olimpbase
1999,7,8,"Karpov, Anatoly",RUS,2709,olimpbase
1999,7,9,"Adams, Michael",ENG,2708,olimpbase
1999,7,10,"Ivanchuk, Vassily",UKR,2702,olimpbase
1999,7,11,"Leko, Peter",HUN,2701,olimpbase
1999,7,12,"Bareev, Evgeny",RUS,2698,olimpbase
1999,7,13,"Topalov, Veselin",BUL,2690,olimpbase
1999,7,14,"Svidler, Peter",RUS,2684,olimpbase
1999,7,15,"Azmaiparashvili, Zurab",GEO,2681,olimpbase
1999,7,16,"Dreev, Alexey",RUS,2679,olimpbase
1999,7,17,"Kortschnoj, Viktor",SUI,2676,olimpbase
